lineage	nuc_muts	spike_muts	s1_muts	s2_muts	ntd_muts	rbd_muts	orf1ab_muts	accessory_muts
AY.109	35.	8.	7.	1.	3.	2.	12.	9.
AY.11	33.	9.	8.	1.	4.	2.	9.	8.
AY.110	34.	9.	8.	1.	4.	2.	11.	9.
AY.111	34.	9.	8.	1.	4.	2.	10.	9.
AY.112	34.	9.	8.	1.	4.	2.	10.	10.
AY.113	38.	9.	8.	1.	4.	2.	12.	9.
AY.114	36.	9.	8.	1.	4.	2.	12.	9.
AY.116	34.	9.	8.	1.	4.	2.	11.	9.
AY.116.1	37.	9.	8.	1.	4.	2.	14.	9.
AY.117	38.	9.	8.	1.	4.	2.	12.	9.
AY.118	36.	9.	8.	1.	4.	2.	10.	10.
AY.119	35.	9.	8.	1.	4.	2.	12.	9.
AY.119.1	44.	11.	9.	2.	5.	2.	14.	12.
AY.119.2	36.	10.	9.	1.	4.	2.	12.	9.
AY.120	35.	9.	8.	1.	4.	2.	11.	9.
AY.120.1	36.	9.	8.	1.	4.	2.	11.	9.
AY.120.2	37.	10.	9.	1.	5.	2.	11.	9.
AY.120.2.1	40.	10.	9.	1.	5.	2.	11.	9.
AY.121	37.	9.	8.	1.	4.	2.	10.	10.
AY.121.1	46.	10.	9.	1.	5.	2.	12.	12.
AY.122	33.	8.	7.	1.	3.	2.	11.	9.
AY.122.1	37.	9.	7.	2.	3.	2.	11.	10.
AY.122.2	36.	9.	8.	1.	3.	3.	12.	9.
AY.122.3	41.	9.	8.	1.	3.	2.	13.	10.
AY.123	39.	9.	7.	2.	3.	2.	13.	10.
AY.123.1	41.	10.	7.	3.	3.	2.	14.	10.
AY.124	36.	9.	8.	1.	4.	2.	13.	9.
AY.124.1	41.	9.	8.	1.	4.	2.	13.	12.
AY.125	40.	9.	8.	1.	4.	2.	12.	10.
AY.126	38.	10.	8.	2.	4.	2.	11.	10.
AY.127	36.	9.	8.	1.	4.	2.	10.	11.
AY.127.1	42.	10.	8.	2.	4.	2.	11.	11.
AY.128	37.	9.	8.	1.	4.	2.	13.	10.
AY.129	36.	9.	8.	1.	4.	2.	11.	10.
AY.13	33.	8.	7.	1.	3.	2.	8.	8.
AY.131	39.	11.	10.	1.	4.	4.	12.	9.
AY.132	48.	9.	8.	1.	4.	2.	15.	12.
AY.133	40.	13.	11.	2.	6.	3.	10.	7.
AY.14	33.	8.	7.	1.	3.	2.	11.	8.
AY.15	33.	8.	7.	1.	3.	2.	9.	9.
AY.16	32.	8.	7.	1.	3.	2.	8.	8.
AY.16.1	37.	8.	7.	1.	3.	2.	10.	8.
AY.17	34.	8.	7.	1.	3.	2.	10.	9.
AY.19	33.	9.	7.	2.	3.	2.	8.	10.
AY.2	38.	11.	10.	1.	5.	3.	9.	7.
AY.20	35.	10.	8.	2.	4.	2.	11.	9.
AY.20.1	42.	10.	8.	2.	4.	2.	12.	10.
AY.22	40.	12.	10.	2.	6.	2.	12.	10.
AY.23	35.	9.	7.	2.	3.	2.	12.	9.
AY.23.1	43.	10.	7.	3.	3.	2.	13.	9.
AY.24	29.	9.	8.	1.	4.	2.	7.	8.
AY.25	35.	8.	7.	1.	3.	2.	10.	10.
AY.25.1	37.	8.	7.	1.	3.	2.	12.	10.
AY.25.1.1	40.	10.	8.	2.	4.	2.	13.	10.
AY.26	31.	10.	8.	2.	4.	2.	7.	8.
AY.26.1	38.	13.	10.	3.	5.	3.	7.	10.
AY.27	31.	9.	8.	1.	4.	2.	7.	7.
AY.28	35.	11.	8.	3.	4.	2.	10.	8.
AY.29	36.	9.	8.	1.	4.	2.	11.	9.
AY.29.1	37.	10.	9.	1.	5.	2.	11.	9.
AY.3	36.	8.	7.	1.	3.	2.	11.	9.
AY.30	37.	8.	7.	1.	3.	2.	9.	10.
AY.3.1	42.	9.	8.	1.	4.	2.	13.	9.
AY.3.2	43.	10.	9.	1.	5.	2.	12.	9.
AY.32	36.	9.	8.	1.	3.	2.	11.	9.
AY.3.3	45.	10.	9.	1.	4.	3.	12.	10.
AY.33	34.	10.	9.	1.	5.	2.	10.	9.
AY.33.1	45.	14.	13.	1.	7.	2.	16.	9.
AY.34	41.	10.	9.	1.	4.	2.	12.	9.
AY.34.1	43.	11.	9.	2.	4.	2.	12.	10.
AY.34.1.1	46.	12.	10.	2.	5.	2.	13.	10.
AY.34.2	45.	11.	9.	2.	4.	2.	14.	9.
AY.35	34.	10.	9.	1.	4.	3.	8.	7.
AY.36	38.	10.	8.	2.	4.	2.	12.	9.
AY.37	31.	9.	8.	1.	4.	2.	8.	7.
AY.38	33.	10.	9.	1.	5.	2.	8.	7.
AY.39	35.	9.	8.	1.	4.	2.	11.	10.
AY.39.1	36.	9.	8.	1.	4.	2.	11.	10.
AY.39.1.1	37.	9.	8.	1.	4.	2.	12.	10.
AY.39.1.2	39.	9.	8.	1.	4.	2.	12.	11.
AY.39.1.3	39.	11.	9.	2.	5.	2.	12.	10.
AY.39.2	40.	11.	9.	2.	5.	2.	13.	10.
AY.4	34.	9.	8.	1.	4.	2.	11.	9.
AY.40	41.	9.	8.	1.	3.	2.	11.	11.
AY.4.1	39.	10.	9.	1.	4.	3.	13.	9.
AY.41	43.	11.	9.	2.	4.	3.	16.	9.
AY.4.10	44.	10.	8.	2.	4.	2.	15.	11.
AY.4.2	38.	11.	10.	1.	6.	2.	11.	9.
AY.42	37.	9.	8.	1.	4.	2.	11.	9.
AY.4.2.1	42.	12.	11.	1.	7.	2.	11.	10.
AY.42.1	40.	11.	8.	3.	4.	2.	12.	9.
AY.4.2.2	39.	12.	10.	2.	6.	2.	11.	9.
AY.4.2.3	39.	11.	10.	1.	6.	2.	11.	10.
AY.4.3	35.	10.	9.	1.	5.	2.	11.	9.
AY.43	36.	10.	9.	1.	5.	2.	11.	10.
AY.43.1	41.	11.	10.	1.	6.	2.	12.	11.
AY.43.2	40.	11.	10.	1.	6.	2.	12.	10.
AY.43.3	39.	10.	9.	1.	5.	2.	12.	10.
AY.43.4	39.	10.	9.	1.	5.	2.	12.	10.
AY.43.5	43.	11.	10.	1.	5.	3.	11.	12.
AY.43.6	42.	10.	9.	1.	5.	2.	12.	12.
AY.43.7	40.	12.	10.	2.	6.	2.	11.	10.
AY.4.4	38.	11.	8.	2.	4.	2.	12.	9.
AY.44	35.	8.	7.	1.	3.	2.	11.	9.
AY.4.5	36.	10.	8.	2.	4.	2.	12.	9.
AY.45	34.	8.	7.	1.	3.	2.	11.	9.
AY.4.6	39.	9.	8.	1.	4.	2.	12.	10.
AY.46	34.	8.	7.	1.	3.	2.	11.	9.
AY.46.1	35.	8.	7.	1.	3.	2.	11.	10.
AY.46.2	35.	8.	7.	1.	3.	2.	11.	9.
AY.46.3	39.	9.	8.	1.	4.	2.	14.	9.
AY.46.4	35.	9.	8.	1.	3.	2.	11.	9.
AY.46.5	36.	8.	7.	1.	3.	2.	12.	9.
AY.46.6	36.	8.	7.	1.	3.	2.	11.	9.
AY.4.7	39.	9.	8.	1.	4.	2.	13.	10.
AY.47	33.	10.	9.	1.	5.	2.	8.	8.
AY.4.8	39.	9.	8.	1.	4.	2.	13.	10.
AY.48	32.	9.	8.	1.	4.	2.	7.	8.
AY.4.9	38.	9.	8.	1.	4.	2.	13.	9.
AY.49	36.	10.	8.	2.	3.	3.	8.	9.
AY.5	33.	8.	7.	1.	3.	2.	10.	9.
AY.50	35.	9.	8.	1.	3.	2.	10.	9.
AY.5.1	35.	8.	7.	1.	3.	2.	10.	11.
AY.51	33.	8.	7.	1.	3.	2.	8.	10.
AY.5.2	36.	8.	7.	1.	3.	2.	11.	10.
AY.52	35.	9.	7.	2.	3.	2.	8.	10.
AY.5.3	35.	8.	7.	1.	3.	2.	11.	10.
AY.53	35.	9.	8.	1.	4.	2.	9.	8.
AY.5.4	35.	8.	7.	1.	3.	2.	11.	10.
AY.54	35.	8.	7.	1.	3.	2.	9.	8.
AY.5.5	37.	8.	7.	1.	3.	2.	12.	10.
AY.55	29.	9.	8.	1.	4.	2.	7.	7.
AY.56	31.	9.	8.	1.	4.	2.	7.	9.
AY.57	30.	9.	8.	1.	4.	2.	8.	7.
AY.58	32.	9.	8.	1.	4.	2.	8.	7.
AY.59	31.	9.	8.	1.	4.	2.	8.	7.
AY.6	34.	8.	7.	1.	3.	2.	12.	9.
AY.60	35.	9.	8.	1.	4.	2.	12.	7.
AY.61	29.	9.	8.	1.	4.	2.	7.	8.
AY.62	31.	9.	8.	1.	4.	2.	8.	8.
AY.63	39.	9.	8.	1.	4.	2.	12.	7.
AY.64	38.	10.	8.	2.	4.	2.	8.	8.
AY.65	32.	10.	8.	2.	4.	2.	8.	7.
AY.66	32.	9.	8.	1.	4.	2.	8.	8.
AY.67	32.	9.	8.	1.	4.	2.	9.	8.
AY.68	38.	11.	9.	2.	5.	2.	9.	7.
AY.69	36.	9.	8.	1.	4.	2.	11.	8.
AY.7	38.	8.	7.	1.	3.	2.	11.	11.
AY.70	33.	10.	9.	1.	5.	2.	7.	9.
AY.7.1	40.	8.	7.	1.	3.	2.	11.	11.
AY.71	31.	10.	8.	2.	4.	2.	7.	7.
AY.7.2	40.	8.	7.	1.	3.	2.	11.	12.
AY.72	33.	9.	8.	1.	4.	2.	8.	8.
AY.73	35.	9.	8.	1.	4.	2.	8.	9.
AY.74	33.	9.	8.	1.	4.	2.	7.	8.
AY.75	29.	9.	8.	1.	4.	2.	7.	7.
AY.75.2	35.	10.	9.	1.	5.	2.	7.	7.
AY.75.3	36.	10.	9.	1.	5.	2.	10.	7.
AY.76	34.	8.	7.	1.	3.	2.	12.	9.
AY.77	34.	8.	7.	1.	3.	2.	11.	10.
AY.78	37.	9.	8.	1.	4.	2.	11.	9.
AY.79	33.	8.	7.	1.	3.	2.	10.	9.
AY.8	32.	8.	7.	1.	3.	2.	9.	8.
AY.80	37.	8.	7.	1.	3.	2.	12.	10.
AY.81	38.	10.	7.	3.	3.	2.	11.	11.
AY.82	34.	8.	7.	1.	3.	2.	11.	9.
AY.83	35.	8.	7.	1.	3.	2.	12.	9.
AY.84	34.	8.	7.	1.	3.	2.	10.	10.
AY.85	40.	9.	8.	1.	4.	2.	11.	11.
AY.86	35.	9.	7.	2.	3.	2.	11.	10.
AY.87	38.	8.	7.	1.	3.	2.	13.	10.
AY.88	34.	8.	7.	1.	3.	2.	11.	10.
AY.9	29.	9.	8.	1.	4.	2.	7.	7.
AY.90	38.	8.	7.	1.	3.	2.	12.	11.
AY.91	36.	8.	7.	1.	3.	2.	11.	10.
AY.91.1	40.	8.	7.	1.	3.	2.	11.	12.
AY.9.2	32.	9.	8.	1.	4.	2.	9.	7.
AY.92	35.	9.	8.	1.	4.	2.	10.	9.
AY.9.2.2	35.	10.	9.	1.	4.	2.	10.	7.
AY.93	35.	8.	7.	1.	3.	2.	12.	9.
AY.94	37.	8.	7.	1.	3.	2.	12.	9.
AY.95	35.	10.	9.	1.	4.	2.	10.	9.
AY.98	34.	8.	7.	1.	3.	2.	11.	9.
AY.98.1	39.	9.	8.	1.	4.	2.	12.	10.
AY.99	35.	8.	7.	1.	3.	2.	11.	9.
AY.99.1	37.	9.	8.	1.	4.	2.	12.	9.
AY.99.2	39.	9.	8.	1.	4.	2.	12.	9.
AZ.1	29.	5.	4.	1.	1.	1.	9.	5.
AZ.2	30.	5.	4.	1.	1.	1.	8.	6.
AZ.3	28.	5.	4.	1.	1.	1.	9.	5.
AZ.4	28.	5.	4.	1.	1.	1.	7.	5.
AZ.5	29.	5.	4.	1.	1.	1.	6.	5.
B	0.	0.5	0.5	0.	0.5	0.	0.	0.5
B.1	8.5	2.5	2.	0.	0.5	0.5	2.	1.
B.1.1	7.	1.	1.	0.	0.	0.	1.	2.
B.1.1.1	12.	1.	1.	0.	0.	0.	3.	2.
B.1.1.10	9.	1.	1.	0.	0.	0.	1.	2.
B.1.110	6.	1.	1.	0.	0.	0.	1.	1.
B.1.1.101	9.	1.	1.	0.	0.	0.	2.	2.
B.1.110.3	8.	1.	1.	0.	0.	0.	1.	2.
B.1.111	7.	1.	1.	0.	0.	0.	1.	1.
B.1.1.111	9.	1.	1.	0.	0.	0.	1.	2.
B.1.1.115	9.	1.	1.	0.	0.	0.	1.	2.
B.1.1.117	8.	2.	1.	1.	0.	0.	1.	2.
B.1.1.121	8.	1.	1.	0.	0.	0.	1.	2.
B.1.1.133	11.	1.	1.	0.	0.	0.	3.	2.
B.1.1.135	8.	1.	1.	0.	0.	0.	2.	2.
B.1.1.141	9.	2.	2.	0.	1.	0.	1.	3.
B.1.1.153	13.	1.	1.	0.	0.	0.	3.	2.
B.1.1.157	10.	1.	1.	0.	0.	0.	3.	2.
B.1.1.159	12.	1.	1.	0.	0.	0.	4.	3.
B.1.1.161	8.	2.	2.	0.	0.	0.	1.	2.
B.1.1.163	10.	1.	1.	0.	0.	0.	1.	2.
B.1.1.170	14.	1.	1.	0.	0.	0.	4.	2.
B.1.1.171	9.	1.	1.	0.	0.	0.	2.	2.
B.1.1.174	8.	1.	1.	0.	0.	0.	1.	2.
B.1.1.176	12.	1.	1.	0.	0.	0.	3.	4.
B.1.1.181	9.	1.	1.	0.	0.	0.	1.	2.
B.1.1.186	10.	2.	2.	0.	1.	0.	2.	2.
B.1.1.189	9.	1.	1.	0.	0.	0.	1.	2.
B.1.1.192	9.	1.	1.	0.	0.	0.	1.	2.
B.1.1.198	10.	1.	1.	0.	0.	0.	2.	2.
B.1.1.203	8.	1.	1.	0.	0.	0.	1.	2.
B.1.1.205	9.	1.	1.	0.	0.	0.	2.	2.
B.1.1.207	14.	2.	2.	0.	0.	0.	2.	3.
B.1.1.214	11.	1.	1.	0.	0.	0.	3.	3.
B.1.1.216	10.	1.	1.	0.	0.	0.	1.	3.
B.1.1.220	9.	1.	1.	0.	0.	0.	1.	2.
B.1.1.221	10.	1.	1.	0.	0.	0.	1.	2.
B.1.1.222	9.	2.	1.	1.	0.	0.	1.	2.
B.1.1.228	11.	1.	1.	0.	0.	0.	2.	3.
B.1.1.231	9.	1.	1.	0.	0.	0.	1.	3.
B.1.1.232	10.	1.	1.	0.	0.	0.	3.	2.
B.1.1.241	12.	3.	1.	0.	0.	0.	1.	2.
B.1.1.243	10.	1.	1.	0.	0.	0.	3.	2.
B.1.1.25	9.	1.	1.	0.	0.	0.	2.	2.
B.1.1.253	8.	1.	1.	0.	0.	0.	1.	2.
B.1.1.254	8.	1.	1.	0.	0.	0.	2.	2.
B.1.126	8.	2.	2.	0.	1.	0.	1.	1.
B.1.1.263	9.	1.	1.	0.	0.	0.	2.	2.
B.1.1.265	9.	1.	1.	0.	0.	0.	2.	2.
B.1.1.269	11.	2.	1.	1.	0.	0.	3.	3.
B.1.1.27	9.	1.	1.	0.	0.	0.	2.	2.
B.1.1.273	9.	1.	1.	0.	0.	0.	2.	2.
B.1.1.274	8.	1.	1.	0.	0.	0.	1.	3.
B.1.1.277	13.	1.	1.	0.	0.	0.	2.	2.
B.1.1.279	12.	2.	2.	0.	1.	0.	5.	2.
B.1.1.28	8.5	2.	1.	1.	0.	0.	1.5	2.
B.1.128	8.	1.	1.	0.	0.	0.	2.	1.
B.1.1.284	14.	1.	1.	0.	0.	0.	4.	3.
B.1.1.291	10.	1.	1.	0.	0.	0.	1.	2.
B.1.1.294	10.	1.	1.	0.	0.	0.	2.	2.
B.1.1.297	9.	1.	1.	0.	0.	0.	2.	3.
B.1.1.298	10.	2.	2.	0.	0.	1.	2.	3.
B.1.1.301	10.	1.	1.	0.	0.	0.	2.	2.
B.1.1.302	14.	2.	1.	1.	0.	0.	4.	3.
B.1.1.304	9.	1.	1.	0.	0.	0.	3.	2.
B.1.1.305	9.	1.	1.	0.	0.	0.	1.	2.
B.1.1.306	10.	1.	1.	0.	0.	0.	2.	2.
B.1.1.307	10.	1.	1.	0.	0.	0.	3.	2.
B.1.1.311	10.	1.	1.	0.	0.	0.	2.	3.
B.1.1.312	13.	2.	1.	1.	0.	0.	3.	3.
B.1.1.315	16.	1.	1.	0.	0.	0.	4.	4.
B.1.1.316	13.	4.	2.	2.	0.	0.	1.	2.
B.1.1.317	9.	1.	1.	0.	0.	0.	1.	3.
B.1.1.318	25.	5.	4.	1.	1.	1.	6.	5.
B.1.1.326	11.	1.	1.	0.	0.	0.	2.	3.
B.1.1.329	10.	1.	1.	0.	0.	0.	3.	2.
B.1.1.33	9.	1.	1.	0.	0.	0.	1.	4.
B.1.1.332	15.	2.	1.	1.	0.	0.	3.	3.
B.1.1.34	9.	1.	1.	0.	0.	0.	3.	2.
B.1.1.348	9.	1.	1.	0.	0.	0.	1.	2.
B.1.1.351	18.	3.	3.	0.	1.	0.	6.	2.
B.1.1.354	11.	1.	1.	0.	0.	0.	2.	3.
B.1.1.359	8.	1.	1.	0.	0.	0.	1.	3.
B.1.1.360	9.	2.	2.	0.	1.	0.	1.	3.
B.1.1.368	10.	1.	1.	0.	0.	0.	2.	4.
B.1.1.369	10.	1.	1.	0.	0.	0.	2.	3.
B.1.1.37	9.	1.	1.	0.	0.	0.	1.	2.
B.1.1.370	7.	1.	1.	0.	0.	0.	1.	2.
B.1.1.371	8.	1.	1.	0.	0.	0.	2.	2.
B.1.1.372	9.	1.	1.	0.	0.	0.	2.	2.
B.1.1.374	15.	2.	2.	0.	0.	1.	4.	3.
B.1.1.375	23.	2.	2.	0.	0.	1.	6.	4.
B.1.1.376	9.	1.	1.	0.	0.	0.	3.	2.
B.1.1.378	9.	1.	1.	0.	0.	0.	1.	2.
B.1.1.382	9.	1.	1.	0.	0.	0.	3.	2.
B.1.1.39	11.	1.	1.	0.	0.	0.	1.	4.
B.1.139	8.	1.	1.	0.	0.	0.	3.	1.
B.1.1.391	9.	1.	1.	0.	0.	0.	1.	2.
B.1.1.397	11.	3.	3.	0.	2.	0.	1.	4.
B.1.1.398	8.	1.	1.	0.	0.	0.	1.	2.
B.1.1.404	11.	1.	1.	0.	0.	0.	2.	2.
B.1.1.406	15.	2.	1.	1.	0.	0.	3.	2.
B.1.1.409	7.	1.	1.	0.	0.	0.	1.	2.
B.1.1.411	7.	1.	1.	0.	0.	0.	1.	2.
B.1.1.412	9.	1.	1.	0.	0.	0.	2.	2.
B.1.1.413	16.	3.	3.	0.	1.	1.	3.	4.
B.1.1.416	10.	1.	1.	0.	0.	0.	2.	3.
B.1.1.417	20.	2.	2.	0.	1.	0.	6.	2.
B.1.1.418	17.	3.	1.	2.	0.	0.	5.	2.
B.1.1.419	7.	1.	1.	0.	0.	0.	1.	2.
B.1.1.420	20.	3.	3.	0.	1.	1.	4.	5.
B.1.143	5.	1.	1.	0.	0.	0.	1.	0.
B.1.1.432	11.	1.	1.	0.	0.	0.	1.	2.
B.1.1.433	23.	4.	4.	0.	0.	1.	6.	5.
B.1.1.434	14.	1.	1.	0.	0.	0.	6.	3.
B.1.1.44	8.	1.	1.	0.	0.	0.	1.	3.
B.1.1.442	9.	1.	1.	0.	0.	0.	2.	3.
B.1.1.448	9.	1.	1.	0.	0.	0.	2.	2.
B.1.1.459	11.	2.	1.	1.	0.	0.	2.	2.
B.1.1.46	12.	1.	1.	0.	0.	0.	2.	2.
B.1.146	9.	1.	1.	0.	0.	0.	2.	1.
B.1.1.462	8.	2.	2.	0.	0.	0.	1.	2.
B.1.1.464	10.	1.	1.	0.	0.	0.	1.	2.
B.1.1.47	10.	1.	1.	0.	0.	0.	2.	2.
B.1.147	6.	1.	1.	0.	0.	0.	1.	1.
B.1.1.485	8.	1.	1.	0.	0.	0.	1.	2.
B.1.1.486	19.	5.	4.	1.	1.	0.	1.	6.
B.1.1.487	8.	1.	1.	0.	0.	0.	2.	2.
B.1.149	6.	1.	1.	0.	0.	0.	2.	0.
B.1.1.50	11.	1.	1.	0.	0.	0.	2.	3.
B.1.1.500	9.	1.	1.	0.	0.	0.	1.	2.
B.1.1.507	11.	1.	1.	0.	0.	0.	2.	2.
B.1.1.51	10.	1.	1.	0.	0.	0.	2.	2.
B.1.1.519	20.	4.	3.	1.	0.	1.	5.	2.
B.1.1.52	12.	1.	1.	0.	0.	0.	2.	2.
B.1.1.521	12.	1.	1.	0.	0.	0.	2.	2.
B.1.1.523	30.	7.	4.	3.	0.	2.	9.	6.
B.1.1.525	19.	3.	3.	0.	0.	1.	2.	3.
B.1.1.526	19.	3.	2.	1.	0.	0.	4.	4.
B.1.1.528	23.	4.	4.	0.	1.	1.	7.	5.
B.1.1.529	51.	27.	23.	4.	4.	15.	7.	8.
B.1.1.53	9.	1.	1.	0.	0.	0.	3.	2.
B.1.1.54	11.	1.	1.	0.	0.	0.	3.	3.
B.1.1.56	11.	3.	1.	2.	0.	0.	1.	2.
B.1.1.57	8.	1.	1.	0.	0.	0.	2.	2.
B.1.160	20.	2.	2.	0.	0.	1.	6.	3.
B.1.160.16	23.	2.	2.	0.	0.	1.	6.	5.
B.1.1.61	8.	1.	1.	0.	0.	0.	2.	2.
B.1.1.63	9.	2.	1.	0.	0.	0.	1.	2.
B.1.1.67	9.	2.	2.	0.	1.	0.	2.	2.
B.1.1.7	28.	7.	4.	3.	0.	1.	4.	7.
B.1.1.70	11.	1.	1.	0.	0.	0.	3.	2.
B.1.170	6.	1.	1.	0.	0.	0.	1.	1.
B.1.177	11.	2.	2.	0.	1.	0.	1.	1.
B.1.177.10	13.	3.	3.	0.	2.	0.	1.	1.
B.1.177.12	17.	2.	2.	0.	1.	0.	1.	3.
B.1.177.15	17.	2.	2.	0.	1.	0.	3.	1.
B.1.177.16	12.	2.	2.	0.	1.	0.	1.	2.
B.1.177.18	15.	3.	3.	0.	1.	0.	2.	3.
B.1.177.21	14.	2.	2.	0.	1.	0.	1.	1.
B.1.177.32	13.	2.	2.	0.	1.	0.	2.	1.
B.1.177.35	16.	2.	2.	0.	1.	0.	1.	2.
B.1.177.4	16.	2.	2.	0.	1.	0.	1.	1.
B.1.177.44	15.	2.	2.	0.	1.	0.	2.	1.
B.1.177.46	15.	3.	3.	0.	2.	0.	3.	1.
B.1.177.5	16.	3.	3.	0.	2.	0.	1.	2.
B.1.177.52	15.	3.	2.	1.	1.	0.	2.	1.
B.1.177.53	14.	2.	2.	0.	1.	0.	2.	1.
B.1.177.54	18.	2.	2.	0.	1.	0.	1.	2.
B.1.177.56	15.	2.	2.	0.	1.	0.	2.	1.
B.1.177.57	16.	2.	2.	0.	1.	0.	3.	1.
B.1.177.60	16.	3.	3.	0.	2.	0.	1.	2.
B.1.177.62	18.	5.	4.	1.	3.	0.	1.	2.
B.1.177.7	15.	3.	3.	0.	2.	0.	1.	1.
B.1.177.73	17.	3.	2.	1.	1.	0.	2.	2.
B.1.177.75	13.	2.	2.	0.	1.	0.	1.	1.
B.1.177.77	15.	2.	2.	0.	1.	0.	2.	1.
B.1.177.8	15.	3.	3.	0.	2.	0.	1.	1.
B.1.177.81	15.	2.	2.	0.	1.	0.	2.	2.
B.1.177.82	16.	4.	4.	0.	3.	0.	1.	1.
B.1.177.83	15.	4.	4.	0.	3.	0.	1.	1.
B.1.177.86	17.	3.	3.	0.	2.	0.	1.	2.
B.1.177.87	16.	4.	4.	0.	3.	0.	1.	2.
B.1.179	5.	1.	1.	0.	0.	0.	1.	0.
B.1.1.8	8.	1.	1.	0.	0.	0.	1.	3.
B.1.1.83	8.	1.	1.	0.	0.	0.	1.	2.
B.1.189	6.	1.	1.	0.	0.	0.	1.	0.
B.1.192	6.	1.	1.	0.	0.	0.	1.	0.
B.1.195	6.	1.	1.	0.	0.	0.	1.	0.
B.1.1.99	9.	1.	1.	0.	0.	0.	1.	3.
B.1.2	13.	1.	1.	0.	0.	0.	5.	5.
B.1.206	7.	1.	1.	0.	0.	0.	3.	0.
B.1.210	7.	1.	1.	0.	0.	0.	1.	0.
B.1.212	6.	1.	1.	0.	0.	0.	1.	0.
B.1.214	8.	1.	1.	0.	0.	0.	4.	0.
B.1.214.1	13.	1.	1.	0.	0.	0.	5.	1.
B.1.214.2	19.	4.	3.	1.	0.	2.	5.	2.
B.1.214.3	21.	3.	2.	1.	1.	0.	7.	2.
B.1.219	8.	2.	2.	0.	1.	0.	2.	0.
B.1.22	7.	1.	1.	0.	0.	0.	2.	1.
B.1.221	13.	2.	2.	0.	1.	0.	2.	4.
B.1.222	5.	2.	2.	0.	0.	1.	1.	0.
B.1.232	7.	1.	1.	0.	0.	0.	1.	2.
B.1.234	10.	1.	1.	0.	0.	0.	4.	1.
B.1.236	9.	1.	1.	0.	0.	0.	3.	1.
B.1.237	6.	1.	1.	0.	0.	0.	2.	0.
B.1.239	7.	1.	1.	0.	0.	0.	2.	1.
B.1.240	8.	1.	1.	0.	0.	0.	1.	1.
B.1.240.1	13.	1.	1.	0.	0.	0.	2.	1.
B.1.241	7.	1.	1.	0.	0.	0.	1.	1.
B.1.243	7.	1.	1.	0.	0.	0.	1.	1.
B.1.247	4.	1.	1.	0.	0.	0.	1.	0.
B.1.258	11.	2.	2.	0.	0.	1.	3.	0.
B.1.258.11	19.	2.	2.	0.	0.	1.	7.	0.
B.1.258.14	14.	2.	2.	0.	0.	1.	3.	1.
B.1.258.17	25.	4.	3.	1.	1.	1.	9.	1.
B.1.258.3	15.	2.	2.	0.	0.	1.	5.	0.
B.1.260	5.	1.	1.	0.	0.	0.	1.	0.
B.1.265	8.	1.	1.	0.	0.	0.	2.	3.
B.1.279	12.	1.	1.	0.	0.	0.	5.	2.
B.1.298	9.	1.	1.	0.	0.	0.	3.	2.
B.1.3	9.	2.	2.	0.	0.	0.	3.	1.
B.1.311	10.	1.	1.	0.	0.	0.	4.	2.
